variable;variable_old;item;text;info
PD_1;PD_1;Verglichen mit anderen mache ich mir viele Sorgen über meine Privatsphäre.;Inwiefern stimmen Sie den folgenden Aussagen zu Ihrer Privatsphäre zu? - Verglichen mit anderen mache ich mir viele Sorgen über meine Privatsphäre.;"{""ImportId"":""QID10_1""}"
PD_2;PD_2;Verglichen mit anderen bin ich sehr empfindlich, wenn es darum geht, was mit meinen persönlichen Daten passiert.;Inwiefern stimmen Sie den folgenden Aussagen zu Ihrer Privatsphäre zu? - Verglichen mit anderen bin ich sehr empfindlich, wenn es darum geht, was mit meinen persönlichen Daten passiert.;"{""ImportId"":""QID10_2""}"
PD_3;PD_3;Für mich ist es sehr wichtig, meine Privatsphäre zu schützen.;Inwiefern stimmen Sie den folgenden Aussagen zu Ihrer Privatsphäre zu? - Für mich ist es sehr wichtig, meine Privatsphäre zu schützen.;"{""ImportId"":""QID10_3""}"
ICTSC_1;ICTSC_1;Ich bin gut darin, digitale Systeme zu nutzen.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, digitale Systeme zu nutzen.;"{""ImportId"":""QID12_1""}"
ICTSC_2;ICTSC_2;Ich lerne schnell, wenn es um das Nutzen digitaler Systeme geht.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, wenn es um das Nutzen digitaler Systeme geht.;"{""ImportId"":""QID12_2""}"
ICTSC_3;ICTSC_3;Mir fällt es leicht, mich an neue digitale Systeme zu gewöhnen.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Mir fällt es leicht, mich an neue digitale Systeme zu gewöhnen.;"{""ImportId"":""QID12_3""}"
ICTSC_4;ICTSC_4;Ich bin gut darin, mit anderen über digitale Systeme zusammenzuarbeiten.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, mit anderen über digitale Systeme zusammenzuarbeiten.;"{""ImportId"":""QID12_4""}"
ICTSC_5;ICTSC_5;Ich lerne schnell, welches Kommunikationsmedium (Text, Audio, Video, Sound, ...) zur Bearbeitung einer Aufgabe zu wählen ist.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, welches Kommunikationsmedium (Text, Audio, Video, Sound, ...) zur Bearbeitung einer Aufgabe zu wählen ist.;"{""ImportId"":""QID12_5""}"
ICTSC_6;ICTSC_6;Mir fällt es leicht, Informationen über digitale Systeme zu verbreiten.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Mir fällt es leicht, Informationen über digitale Systeme zu verbreiten.;"{""ImportId"":""QID12_6""}"
ICTSC_7;ICTSC_7;Ich kann die Qualität der von mir genutzten digitalen Daten, Informationen und Inhalte bewerten.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich kann die Qualität der von mir genutzten digitalen Daten, Informationen und Inhalte bewerten.;"{""ImportId"":""QID12_7""}"
ICTSC_8;ICTSC_8;Ich bin gut darin, die Relevanz digitaler Daten, Informationen und Inhalte zu bewerten.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, die Relevanz digitaler Daten, Informationen und Inhalte zu bewerten.;"{""ImportId"":""QID12_8""}"
ICTSC_9;ICTSC_9;Mir fällt es leicht, digitale Daten, Informationen und Inhalte zur Bearbeitung einer Aufgabe zu finden.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Mir fällt es leicht, digitale Daten, Informationen und Inhalte zur Bearbeitung einer Aufgabe zu finden.;"{""ImportId"":""QID12_9""}"
ICTSC_10;ICTSC_10;Ich bin ich gut darin, digitale Daten, Informationen und Inhalte weiterzuentwickeln.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin ich gut darin, digitale Daten, Informationen und Inhalte weiterzuentwickeln.;"{""ImportId"":""QID12_10""}"
ICTSC_11;ICTSC_11;Ich lerne schnell, was das Interpretieren digitaler Daten, Informationen und Inhalte angeht.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, was das Interpretieren digitaler Daten, Informationen und Inhalte angeht.;"{""ImportId"":""QID12_11""}"
ICTSC_12;ICTSC_12;Mir fällt es leicht, digitale Daten, Informationen und Inhalte für andere aufzubereiten.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Mir fällt es leicht, digitale Daten, Informationen und Inhalte für andere aufzubereiten.;"{""ImportId"":""QID12_12""}"
ICTSC_13;ICTSC_13;Ich kann digitale Systeme durch Sicherheitsmaßnahmen schützen.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich kann digitale Systeme durch Sicherheitsmaßnahmen schützen.;"{""ImportId"":""QID12_13""}"
ICTSC_14;ICTSC_14;Ich bin gut darin, private Daten im Umgang mit digitalen Systemen zu schützen.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, private Daten im Umgang mit digitalen Systemen zu schützen.;"{""ImportId"":""QID12_14""}"
ICTSC_15;ICTSC_15;Ich lerne schnell, was das Aneignen von Wissen über Sicherheitsrisiken und -maßnahmen in digitalen Systemen angeht.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, was das Aneignen von Wissen über Sicherheitsrisiken und -maßnahmen in digitalen Systemen angeht.;"{""ImportId"":""QID12_15""}"
ICTSC_16;ICTSC_16;Ich kann bei auftretenden Problemen mit digitalen Systemen deren Funktionsfähigkeit selbstständig wiederherstellen.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich kann bei auftretenden Problemen mit digitalen Systemen deren Funktionsfähigkeit selbstständig wiederherstellen.;"{""ImportId"":""QID12_16""}"
ICTSC_17;ICTSC_17;Ich bin gut darin, auftretende Probleme mit digitalen Systemen selbständig zu lösen.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, auftretende Probleme mit digitalen Systemen selbständig zu lösen.;"{""ImportId"":""QID12_17""}"
ICTSC_18;ICTSC_18;Ich lerne schnell, inhaltliche Probleme mit Hilfe von digitalen Systemen zu beheben.;Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, inhaltliche Probleme mit Hilfe von digitalen Systemen zu beheben.;"{""ImportId"":""QID12_18""}"
Q23_1;Q23_1;Ich beabsichtige, die beschriebene KI zu nutzen;"Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von
öffentlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen";"{""ImportId"":""QID23_1""}"
Q23_2;Q23_2;Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen;"Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von
öffentlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen";"{""ImportId"":""QID23_2""}"
Q23_3;Q23_3;Ich würde das System in Zukunft gern nutzen;"Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von
öffentlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen";"{""ImportId"":""QID23_3""}"
Q22_1;Q22_1;Ich beabsichtige, die beschriebene KI zu nutzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen;"{""ImportId"":""QID22_1""}"
Q22_2;Q22_2;Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mit gut vorstellen, das beschriebene KI-System einzusetzen;"{""ImportId"":""QID22_2""}"
Q22_3;Q22_3;Ich würde das System in Zukunft gern nutzen;Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen;"{""ImportId"":""QID22_3""}"
Abschluss;Abschluss;NA;Zum Abschluss: Den Einsatz von KI für digitale Services der Kommunalverwaltung finde ich gut.;"{""ImportId"":""QID39""}"
Q30;Q30;NA;"Vielen Dank für Ihre Teilnahme an der Umfrage!

Falls Sie noch abschließende Anmerkungen haben, können Sie diese gern hier eintragen:";"{""ImportId"":""QID30_TEXT""}"
